Drive folder,Brand,Drive name,Images,Matched SKU,Matched product,How
NATIONAL/ARM CHAIR/GALAXY NAT PRM,NATIONAL,GALAXY NAT PRM,38,NP-NTL-053,Galaxy,exact
NATIONAL/ARM CHAIR/GHOST,NATIONAL,GHOST,26,NP-NTL-020,Ghost,exact
NATIONAL/ARM CHAIR/HERCULES,NATIONAL,HERCULES,31,NP-NTL-021,Hercules,exact
NATIONAL/ARM CHAIR/HERITAGE,NATIONAL,HERITAGE,17,NP-NTL-050,Heritage,exact
NATIONAL/ARM CHAIR/JAGUAR NAT,NATIONAL,JAGUAR NAT,5,,,NO MATCH
NATIONAL/ARM CHAIR/JWELE,NATIONAL,JWELE,20,,,NO MATCH
NATIONAL/ARM CHAIR/KING NAT,NATIONAL,KING NAT,15,NP-NTL-002,King,exact
NATIONAL/ARM CHAIR/LEO NAT,NATIONAL,LEO NAT,25,NP-NTL-001,Leo,exact
NATIONAL/ARM CHAIR/LOOP NAT,NATIONAL,LOOP NAT,23,,,NO MATCH
NATIONAL/ARM CHAIR/LORD NAT,NATIONAL,LORD NAT,18,NP-NTL-003,Lord,exact
NATIONAL/ARM CHAIR/MAGIK NAT,NATIONAL,MAGIK NAT,26,NP-NTL-017,Magik,exact
NATIONAL/ARM CHAIR/NEW ICON NAT,NATIONAL,NEW ICON NAT,23,,,NO MATCH
NATIONAL/ARM CHAIR/OMEGA,NATIONAL,OMEGA,29,NP-NTL-056,Omega,exact
NATIONAL/ARM CHAIR/PALM NAT,NATIONAL,PALM NAT,27,NP-NTL-051,Palms,spelling-1
NATIONAL/ARM CHAIR/PANTHER,NATIONAL,PANTHER,24,NP-NTL-009,Panther,exact
NATIONAL/ARM CHAIR/PEARL NAT,NATIONAL,PEARL NAT,28,,,NO MATCH
NATIONAL/ARM CHAIR/PHANTOM,NATIONAL,PHANTOM,29,NP-NTL-019,Phantom,exact
NATIONAL/ARM CHAIR/PRINCE,NATIONAL,PRINCE,9,NP-NTL-010,Prince,exact
NATIONAL/ARM CHAIR/RAPID NAT,NATIONAL,RAPID NAT,32,,,NO MATCH
NATIONAL/ARM CHAIR/REAL NAT,NATIONAL,REAL NAT,16,,,NO MATCH
NATIONAL/ARM CHAIR/Robust,NATIONAL,Robust,21,NP-NTL-026,Robust,exact
NATIONAL/ARMLESS CHAIR/ACTIVA NAT,NATIONAL,ACTIVA NAT,43,NP-NTL-058,Activa,exact
NATIONAL/ARMLESS CHAIR/Activa Superior,NATIONAL,Activa Superior,20,NP-NTL-059,Activa Superior,exact
NATIONAL/ARMLESS CHAIR/Charlie,NATIONAL,Charlie,50,,,NO MATCH
NATIONAL/ARMLESS CHAIR/DESIRE,NATIONAL,DESIRE,25,NP-NTL-066,Desire,exact
NATIONAL/ARMLESS CHAIR/Dynamic,NATIONAL,Dynamic,50,,,NO MATCH
NATIONAL/ARMLESS CHAIR/DYNAMIC SUPERIOR,NATIONAL,DYNAMIC SUPERIOR,9,,,NO MATCH
NATIONAL/ARMLESS CHAIR/ECHO,NATIONAL,ECHO,20,NP-NTL-062,Echo,exact
NATIONAL/ARMLESS CHAIR/FLORANCE ECO,NATIONAL,FLORANCE ECO,20,,,NO MATCH
