Drive folder,Brand,Drive name,Images,Matched SKU,Matched product,How
NEXT/PREMIUM ARMLESS CHAIRS/CALIBER SUPER DELEXUE,NEXT,CALIBER SUPER DELEXUE,44,,,NO MATCH
NEXT/PREMIUM ARMLESS CHAIRS/DISCOVER SUPER DELEXUE,NEXT,DISCOVER SUPER DELEXUE,32,,,NO MATCH
NEXT/PREMIUM ARMLESS CHAIRS/INVENT SUPER DELEXUE,NEXT,INVENT SUPER DELEXUE,50,,,NO MATCH
NEXT/STEEL MOULDED/KRAFT,NEXT,KRAFT,5,,,NO MATCH
NEXT/STEEL MOULDED/MATT,NEXT,MATT,50,NP-NXT-007,Matt,exact
NEXT/STEEL MOULDED/TEXTURE,NEXT,TEXTURE,7,,,NO MATCH
NEXT/STOOL/ASPIRE NEXT,NEXT,ASPIRE NEXT,12,,,NO MATCH
NEXT/STOOL/Big Ponny Next,NEXT,Big Ponny Next,50,,,NO MATCH
NEXT/STOOL/CHARMS,NEXT,CHARMS,16,NP-NXT-050,Charm,spelling-1
NEXT/STOOL/CROSS,NEXT,CROSS,20,,,NO MATCH
NEXT/STOOL/DISC,NEXT,DISC,12,,,NO MATCH
NEXT/STOOL/ENLARGE,NEXT,ENLARGE,16,,,NO MATCH
NEXT/STOOL/FRIDGE STAND,NEXT,FRIDGE STAND,16,,,NO MATCH
NEXT/STOOL/GENIOUS PATLA NEXT,NEXT,GENIOUS PATLA NEXT,11,,,NO MATCH
NEXT/STOOL/JIMMY NEXT,NEXT,JIMMY NEXT,9,,,NO MATCH
NEXT/STOOL/LEISURE STOOL,NEXT,LEISURE STOOL,17,,,NO MATCH
NEXT/STOOL/Marvel Next,NEXT,Marvel Next,50,,,NO MATCH
NEXT/STOOL/MID,NEXT,MID,17,,,NO MATCH
NEXT/STOOL/MIRACLE,NEXT,MIRACLE,20,NP-NXT-052,Miracle,exact
NEXT/STOOL/ORIENT,NEXT,ORIENT,10,NP-NXT-056,Orient,exact
NEXT/STOOL/RHINO,NEXT,RHINO,2,,,NO MATCH
NEXT/STOOL/ROZY,NEXT,ROZY,20,NP-NXT-051,Rozy,exact
NEXT/STOOL/SCALE NEXT,NEXT,SCALE NEXT,12,,,NO MATCH
NEXT/STOOL/SWIFT,NEXT,SWIFT,13,NP-NXT-049,Swift,exact
NEXT/TABLES/BUFFET,NEXT,BUFFET,50,NP-NXT-060,Buffet,exact
NEXT/TABLES/BUFFET TABLE,NEXT,BUFFET TABLE,16,,,NO MATCH
NEXT/TABLES/CHERISH,NEXT,CHERISH,50,NP-NXT-062,Cherish,exact
NEXT/TABLES/FANTASY TABLE,NEXT,FANTASY TABLE,8,,,NO MATCH
NEXT/TABLES/FORTUNE,NEXT,FORTUNE,50,NP-NXT-061,Fortune,exact
NEXT/TABLES/FORTUNE TABLE,NEXT,FORTUNE TABLE,17,,,NO MATCH
NEXT/TABLES/GLANCE,NEXT,GLANCE,12,NP-NXT-063,Glance,exact
NEXT/TABLES/MAZE,NEXT,MAZE,40,,,NO MATCH
NEXT/TABLES/MESH,NEXT,MESH,45,NP-NXT-059,Mesh,exact
NEXT/TABLES/ORIENT,NEXT,ORIENT,10,NP-NXT-056,Orient,exact
NEXT/TABLES/RIDER,NEXT,RIDER,11,NP-NXT-057,Rider,exact
NEXT/TABLES/TAVERA,NEXT,TAVERA,30,,,NO MATCH
NEXT/TROLLEYS/RACK 3,NEXT,RACK 3,43,,,NO MATCH
NEXT/TROLLEYS/RACK 4,NEXT,RACK 4,34,,,NO MATCH
NEXT/TROLLEYS/RACK3_4,NEXT,RACK3_4,10,,,NO MATCH
NEXT/TROLLEYS/Utility Rack 4,NEXT,Utility Rack 4,20,NP-NXT-064,Utility Rack-4,exact
NEXT/TROLLEYS/Utility Rack 5,NEXT,Utility Rack 5,19,NP-NXT-065,Utility Rack-5,exact
NEXT/WARDROBE/CELLAR WARDROBE,NEXT,CELLAR WARDROBE,50,,,NO MATCH
NEXT/WARDROBE/WADROBE,NEXT,WADROBE,516,,,NO MATCH
SAPPHIRE/ARM CHAIR/AJANTA SAPPHIRE,SAPPHIRE,AJANTA SAPPHIRE,15,,,NO MATCH
SAPPHIRE/ARM CHAIR/BHEEM,SAPPHIRE,BHEEM,13,NP-NSP-008,Bheem,exact
SAPPHIRE/ARM CHAIR/BREEZA,SAPPHIRE,BREEZA,12,NP-NSP-010,Brezza,spelling-1
SAPPHIRE/ARM CHAIR/CARNIVAL,SAPPHIRE,CARNIVAL,16,NP-NSP-004,Carnival,exact
SAPPHIRE/ARM CHAIR/COMFORT,SAPPHIRE,COMFORT,12,,,NO MATCH
SAPPHIRE/ARM CHAIR/CROWN,SAPPHIRE,CROWN,12,,,NO MATCH
SAPPHIRE/ARM CHAIR/DOLPHINE,SAPPHIRE,DOLPHINE,4,NP-NSP-009,Dolphin,spelling-1
SAPPHIRE/ARM CHAIR/FLOWER,SAPPHIRE,FLOWER,21,NP-NSP-012,Flower,exact
SAPPHIRE/ARM CHAIR/JAGUAR SAP,SAPPHIRE,JAGUAR SAP,6,NP-NSP-001,Jaguar,exact
SAPPHIRE/ARM CHAIR/LEOPARD,SAPPHIRE,LEOPARD,15,,,NO MATCH
SAPPHIRE/ARM CHAIR/LEOPARD KING,SAPPHIRE,LEOPARD KING,10,NP-NSP-003,Leopard King,exact
SAPPHIRE/ARM CHAIR/LEOPARD LEO,SAPPHIRE,LEOPARD LEO,13,NP-NSP-002,Leopard Leo,exact
SAPPHIRE/ARM CHAIR/LION,SAPPHIRE,LION,12,,,NO MATCH
SAPPHIRE/ARM CHAIR/LOOP,SAPPHIRE,LOOP,8,,,NO MATCH
SAPPHIRE/ARM CHAIR/MAJESTIC,SAPPHIRE,MAJESTIC,12,,,NO MATCH
SAPPHIRE/ARM CHAIR/PUMA,SAPPHIRE,PUMA,23,NP-NSP-007,Puma,exact
SAPPHIRE/ARM CHAIR/RELAXO,SAPPHIRE,RELAXO,14,NP-NSP-006,Relaxo,exact
SAPPHIRE/ARM CHAIR/REX,SAPPHIRE,REX,17,NP-NSP-011,Rex,exact
SAPPHIRE/ARM CHAIR/SAFARI,SAPPHIRE,SAFARI,11,,,NO MATCH
SAPPHIRE/ARM CHAIR/SHARK,SAPPHIRE,SHARK,12,,,NO MATCH
SAPPHIRE/ARM CHAIR/SIGNATURE,SAPPHIRE,SIGNATURE,9,,,NO MATCH
SAPPHIRE/ARM CHAIR/STYLE,SAPPHIRE,STYLE,18,,,NO MATCH
SAPPHIRE/ARM CHAIR/TEJAS,SAPPHIRE,TEJAS,14,NP-NSP-005,Tejas,exact
SAPPHIRE/ARM CHAIR/THROB,SAPPHIRE,THROB,9,,,NO MATCH
SAPPHIRE/ARM CHAIR/TIAGO,SAPPHIRE,TIAGO,8,,,NO MATCH
SAPPHIRE/ARM CHAIR/ZAP,SAPPHIRE,ZAP,8,,,NO MATCH
SAPPHIRE/ARMLESS CHAIR/IDEAL,SAPPHIRE,IDEAL,20,NP-NSP-016,Ideal,exact
SAPPHIRE/ARMLESS CHAIR/NEW FLORENCE SAP,SAPPHIRE,NEW FLORENCE SAP,28,NP-NSP-015,New Florence,exact
SAPPHIRE/ARMLESS CHAIR/OLD FLORENCE,SAPPHIRE,OLD FLORENCE,2,NP-NSP-014,Old Florence,exact
SAPPHIRE/ARMLESS CHAIR/OLD FLORENCE SAP,SAPPHIRE,OLD FLORENCE SAP,14,NP-NSP-014,Old Florence,exact
SAPPHIRE/ARMLESS CHAIR/PLUTO,SAPPHIRE,PLUTO,20,NP-NSP-013,Pluto,exact
SAPPHIRE/ARMLESS CHAIR/RUBY,SAPPHIRE,RUBY,22,NP-NSP-017,Ruby,exact
SAPPHIRE/STOOL/ASPIRE,SAPPHIRE,ASPIRE,4,NP-NSP-019,Aspire,exact
SAPPHIRE/STOOL/COMET,SAPPHIRE,COMET,12,NP-NSP-023,Comet,exact
SAPPHIRE/STOOL/CROSS,SAPPHIRE,CROSS,4,NP-NSP-020,Cross,exact
SAPPHIRE/STOOL/DISC,SAPPHIRE,DISC,4,NP-NSP-021,Disc,exact
SAPPHIRE/STOOL/FRIDGE STAND,SAPPHIRE,FRIDGE STAND,3,,,NO MATCH
SAPPHIRE/STOOL/JIMMY,SAPPHIRE,JIMMY,5,NP-NSP-022,Jimmy,exact
SAPPHIRE/STOOL/MID SAPPHIRE,SAPPHIRE,MID SAPPHIRE,9,,,NO MATCH
SAPPHIRE/STOOL/SCALE,SAPPHIRE,SCALE,7,,,NO MATCH
SAPPHIRE/STOOL/TUFF,SAPPHIRE,TUFF,6,,,NO MATCH
SAPPHIRE/TABLE/Cheerish Superior,SAPPHIRE,Cheerish Superior,19,,,NO MATCH
SAPPHIRE/TABLE/COMFY,SAPPHIRE,COMFY,13,NP-NSP-024,Comfy,exact
SAPPHIRE/TABLE/FLORA SAP,SAPPHIRE,FLORA SAP,29,NP-NSP-035,Flora,exact
SAPPHIRE/TABLE/Flora Superior,SAPPHIRE,Flora Superior,14,NP-NSP-032,Flora Superior,exact
SAPPHIRE/TABLE/MAGNA,SAPPHIRE,MAGNA,10,NP-NSP-025,Magna,exact
SAPPHIRE/TABLE/Maharaja Superior,SAPPHIRE,Maharaja Superior,19,NP-NSP-033,Maharaja Superior,exact
SAPPHIRE/TABLE/MAZE SAPP,SAPPHIRE,MAZE SAPP,2,,,NO MATCH
SAPPHIRE/TABLE/NEPTUNE,SAPPHIRE,NEPTUNE,4,NP-NSP-036,Neptune,exact
SAPPHIRE/TABLE/NEPTUNE SUPE,SAPPHIRE,NEPTUNE SUPE,10,,,NO MATCH
SAPPHIRE/TABLE/Neptune Superior,SAPPHIRE,Neptune Superior,16,NP-NSP-034,Neptune Superior,exact
SAPPHIRE/TABLE/OPEL SUPERIOR,SAPPHIRE,OPEL SUPERIOR,4,NP-NSP-027,Opel Superior,exact
SAPPHIRE/TABLE/STRIKER,SAPPHIRE,STRIKER,10,NP-NSP-026,Striker,exact
SAPPHIRE/TABLE/VERSA,SAPPHIRE,VERSA,4,NP-NSP-030,Versa,exact
SAPPHIRE/TABLE/Versa Superior,SAPPHIRE,Versa Superior,35,NP-NSP-028,Versa Superior,exact
SAPPHIRE/TABLE/VITARA,SAPPHIRE,VITARA,4,NP-NSP-031,Vitara,exact
SAPPHIRE/TABLE/VITARA SUPERIOR,SAPPHIRE,VITARA SUPERIOR,5,,,NO MATCH

CATALOGUE PRODUCTS WITH NO DRIVE FOLDER
SKU,Brand,Product
NP-NXT-020,NEXT,Caliber
NP-NXT-006,NEXT,Cinematic
NP-NXT-019,NEXT,Discover
NP-NTL-080,NATIONAL,Enlarge
NP-NXT-023,NEXT,Invent
NP-NXT-053,NEXT,Marvel
NP-NXT-026,NEXT,Stripes
NP-NTL-011,NATIONAL,Rock
NP-NXT-047,NEXT,Scale
NP-NTL-015,NATIONAL,Sumo
NP-NTL-045,NATIONAL,Thunder
NP-NTL-008,NATIONAL,Tiger
NP-NXT-048,NEXT,Aspire
NP-NXT-013,NEXT,Prawn
NP-NXT-022,NEXT,Ruffel
NP-NXT-031,NEXT,Imperial RRK
NP-NXT-032,NEXT,Imperial New
NP-NXT-033,NEXT,Imperial WiFi
NP-NXT-036,NEXT,Dolphin Easy Baby
NP-NXT-041,NEXT,Mickey
NP-NXT-045,NEXT,Kidjee Junior
NP-NXT-046,NEXT,Kids Playtime
NP-NXT-054,NEXT,Big Ponny
NP-NXT-055,NEXT,Enlarge Step Stool
NP-NXT-058,NEXT,Dogma
NP-NXT-066,NEXT,Atom 2FT
NP-NXT-067,NEXT,Atom 4FT
NP-NXT-068,NEXT,Atom 6FT
NP-NXT-069,NEXT,Princess 2FT
NP-NXT-070,NEXT,Princess 4FT
NP-NXT-071,NEXT,Shoe Rack 2 Feet
NP-NXT-072,NEXT,Shoe Rack 4 Feet
NP-NTL-004,NATIONAL,Simba
NP-NTL-005,NATIONAL,Sher
NP-NTL-006,NATIONAL,Arjun
NP-NTL-016,NATIONAL,Seltos
NP-NTL-018,NATIONAL,Jewel
NP-NTL-024,NATIONAL,Wonder
NP-NTL-025,NATIONAL,Sturdy
NP-NTL-027,NATIONAL,Thrill
NP-NTL-029,NATIONAL,Rio
NP-NTL-030,NATIONAL,New Spectrum
NP-NTL-031,NATIONAL,Ultimate Premium
NP-NTL-032,NATIONAL,New Fusion
NP-NTL-035,NATIONAL,Techno
NP-NTL-041,NATIONAL,Unique
NP-NTL-042,NATIONAL,Dolphin
NP-NTL-057,NATIONAL,Hector
NP-NTL-065,NATIONAL,Lilly
NP-NTL-068,NATIONAL,Bonny
NP-NTL-069,NATIONAL,Primo
NP-NTL-070,NATIONAL,Baby Ultimate
NP-NTL-071,NATIONAL,Pups
NP-NTL-072,NATIONAL,Tom Baby
NP-NTL-073,NATIONAL,Toy Baby
NP-NTL-076,NATIONAL,Mars
NP-NTL-077,NATIONAL,Saturn
NP-NTL-078,NATIONAL,Jimmy
NP-NTL-081,NATIONAL,Java
NP-NTL-082,NATIONAL,Charm
NP-NTL-083,NATIONAL,Swift
NP-NTL-084,NATIONAL,Rhino
NP-NTL-091,NATIONAL,Indica
NP-NTL-092,NATIONAL,Alto
NP-NSP-018,NATIONAL SAPPHIRE,Toy Baby
NP-NSP-029,NATIONAL SAPPHIRE,Zen Superior
NP-NSP-037,NATIONAL SAPPHIRE,Maharaja
NP-CPT-013,CAPTAIN,Charm
